Name1,Right Ascension1,Declination1,Apparent Magnitude1,Constellation1,Name2,Right Ascension2,Declination2,Apparent Magnitude2,Constellation2,linestyle,color,width,alpha


Theta Centauri,14h 06m 41.32s,-36° 22′ 07.3″,2.06,Centaurus,Nu Centauri,13h 49m 30.30s,-41° 41′ 15.6″,3.41,Centaurus,-,grey,1,0.5
Nu Centauri,13h 49m 30.30s,-41° 41′ 15.6″,3.41,Centaurus,Mu Centauri,13h 49m 37.01s,-42° 28′ 25.3″,3.47,Centaurus,-,grey,1,0.5
Mu Centauri,13h 49m 37.01s,-42° 28′ 25.3″,3.47,Centaurus,Upsilon1 Centauri,13h 58m 40.77s,-44° 48′ 12.7″,3.87,Centaurus,-,grey,1,0.5
Upsilon1 Centauri,13h 58m 40.77s,-44° 48′ 12.7″,3.87,Centaurus,Zeta Centauri,13h 55m 32.43s,-47° 17′ 17.8″,2.55,Centaurus,-,grey,1,0.5
Zeta Centauri,13h 55m 32.43s,-47° 17′ 17.8″,2.55,Centaurus,Gamma Centauri,12h 41m 31.20s,-48° 57′ 35.6″,2.2,Centaurus,-,grey,1,0.5
Gamma Centauri,12h 41m 31.20s,-48° 57′ 35.6″,2.2,Centaurus,Sigma Centauri,12h 28m 02.41s,-50° 13′ 50.2″,3.91,Centaurus,-,grey,1,0.5
Sigma Centauri,12h 28m 02.41s,-50° 13′ 50.2″,3.91,Centaurus,Delta Centauri,12h 08m 21.54s,-50° 43′ 20.7″,2.58,Centaurus,-,grey,1,0.5
Delta Centauri,12h 08m 21.54s,-50° 43′ 20.7″,2.58,Centaurus,A Centauri,11h 34m 45.71s,-54° 15′ 50.9″,4.62,Centaurus,-,grey,1,0.5
A Centauri,11h 34m 45.71s,-54° 15′ 50.9″,4.62,Centaurus,Lambda Centauri,11h 35m 46.93s,-63° 01′ 11.4″,3.11,Centaurus,-,grey,1,0.5

Zeta Centauri,13h 55m 32.43s,-47° 17′ 17.8″,2.55,Centaurus,Epsilon Centauri,13h 39m 53.27s,-53° 27′ 58.9″,2.29,Centaurus,-,grey,1,0.5
Epsilon Centauri,13h 39m 53.27s,-53° 27′ 58.9″,2.29,Centaurus,Beta Centauri,14h 03m 49.44s,-60° 22′ 22.7″,0.61,Centaurus,-,grey,1,0.5
Beta Centauri,14h 03m 49.44s,-60° 22′ 22.7″,0.61,Centaurus,Alpha Centauri,14h 39m 40.90s,-60° 50′ 06.5″,-0.01,Centaurus,-,grey,1,0.5

Kappa Centauri,14h 59m 09.70s,-42° 06′ 14.9″,3.13,Centaurus,Eta Centauri,14h 35m 30.45s,-42° 09′ 27.9″,2.33,Centaurus,-,grey,1,0.5
Eta Centauri,14h 35m 30.45s,-42° 09′ 27.9″,2.33,Centaurus,Mu Centauri,13h 49m 37.01s,-42° 28′ 25.3″,3.47,Centaurus,-,grey,1,0.5

Nu Centauri,13h 49m 30.30s,-41° 41′ 15.6″,3.41,Centaurus,HD 117440,13h 31m 02.67s,-39° 24′ 26.2″,3.9,Centaurus,-,grey,1,0.5
HD 117440,13h 31m 02.67s,-39° 24′ 26.2″,3.9,Centaurus,Iota Centauri,13h 20m 36.07s,-36° 42′ 43.5″,2.75,Centaurus,-,grey,1,0.5


